alim_ssgrp_nom_fr,alim_nom_fr,kCal,Prot,Glucides,Lipides,Sucre,Fibres,Acides organiques,Acides gras satur,Ca,Cu,Fe,I,Mg,Mn,P,K,Se,Na,Zn,Beta-carotene,E,C,B1,B2,B3,B5,B6,B9
viandes cuites,"Rognon, porc, cuit",148,"25,4","1,1","4,7",-,0,0,"1,51",13,"0,68","5,29",10,18,"0,15",240,143,-,80,"4,15",-,-,"10,6","0,4","1,59","5,79","2,87","0,46",41
viandes cuites,"Rognon, agneau, braisé",139,"23,7","2,97","3,62",0,0,0,"1,23",18,"0,37","12,4",10,20,"0,14",290,178,-,151,"3,8",-,"0,41",12,"0,35","2,07","5,99","2,04","0,12",81
viandes cuites,"Rognon, veau, braisé ou sauté/poêlé",167,26,0,7,0,0,0,"2,14",-,-,5,10,-,-,-,-,-,-,"4,9",-,"1,2",-,"0,5",-,"6,3","5,6","0,55",-
viandes cuites,"Gésier, canard, confit, appertisé",149,"32,4",0,"2,1","< 0,2",< 1,0,"0,7","8,5","< 0,1","9,4",32,"18,3","< 0,1",126,214,37,766,6,< 30,"0,12",< 1,"0,14","0,2","3,6","0,3","0,12",< 20
viandes crues,"Boeuf, côte, crue",147,"20,5",0,"7,28",0,0,0,"3,67","9,5",-,"2,15","2,4",18,-,188,355,-,"48,3",-,-,-,0,"0,08","0,17","4,5",-,"0,42","6,9"
viandes crues,"Boeuf, épaule, crue",168,"20,4",0,"9,64",0,0,0,"4,02","7,38","0,073","2,29","0,95","22,5","0,012",192,342,"7,25","67,5","5,46",0,"0,32",0,"0,057","0,19","5,38","0,77","0,5",5
viandes crues,"Boeuf, gîte à la noix, cru",148,"21,3",0,"7,05",0,0,0,"2,72","10,3","0,086","1,85","0,9",22,"0,012",185,334,"6,5","54,3","4,16",0,"0,29",0,"0,063","0,13","6,09","0,75","0,56",9
viandes crues,"Boeuf, entrecôte, crue",231,"19,4",0,"17,1",0,0,0,"8,07","5,44","0,066","2,21","1,1","19,5","0,011",154,270,"8,13","29,8","4,25",0,"0,66",0,"0,069","0,2","3,91","0,6","0,29",4
viandes crues,"Boeuf, faux-filet, cru",152,"22,3","0,6","6,74",0,0,0,-,"9,28","0,076","2,26","0,9","21,3","0,011",189,318,"10,6","32,2","3,26",0,"0,37",0,"0,059","0,15","5,77","0,73","0,48","9,6"
viandes crues,"Boeuf, faux-filet, label rouge, cru",121,"24,1",traces,"2,8",0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
viandes crues,"Boeuf, plat de côtes, cru",287,"18,4",0,"23,7",0,0,0,"10,6",9,"0,053","1,9",-,14,"0,011",137,232,"6,68",49,"3,08",-,-,0,"0,071","0,12","3,72","0,24","0,25",5
viandes crues,"Boeuf, hampe, crue",154,19,0,"8,63",0,0,0,"3,91",6,"0,17","3,68",-,19,"0,17",142,242,"11,8","59,3","4,51",0,"0,15",0,"0,1","0,56","3,97","1,13","0,29",3
viandes crues,"Boeuf, joue, crue",136,"22,3","0,4","5,02",0,0,0,"1,81",-,-,"3,18",-,-,-,-,-,"14,4",71,"2,7",-,-,-,-,-,"4,67",-,"0,15",-
viandes crues,"Boeuf, jarret, cru",122,"20,9",0,"4,25",0,0,0,"1,22",5,"0,074","1,96",-,24,"0,011",215,363,-,54,"5,32",0,"0,21",0,"0,071","0,19","5,01","0,73","0,53",11
viandes crues,"Boeuf, tende de tranche, crue",116,"23,1","0,57","2,34",0,0,0,"0,8","7,93","0,061","2,75","0,9",17,"0,006",196,329,"10,1","31,1","3,46",0,"0,23",0,"0,06","0,18","5,21","0,63","0,51","5,5"
viandes crues,"Boeuf, steak ou bifteck, cru",223,"19,2",0,"16,2",0,0,0,"6,75",6,"0,071","1,93",1,"19,8","0,012",174,307,"6,5","58,7","4,03",0,"0,48",0,"0,075","0,16","4,44","0,52","0,42","5,77"
viandes crues,"Boeuf, boule de macreuse, crue",118,"21,8",0,"3,36",0,0,0,"1,23","4,95","0,09","2,86",-,22,-,192,354,"10,7","37,9","4,59",0,"0,13",0,"0,12","0,19","4,43",-,"0,44",7
viandes crues,"Boeuf, onglet, cru",139,20,0,"6,6",0,0,0,"2,46",-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-
viandes crues,"Boeuf, rumsteck, cru",114,"22,5","0,4","2,5",0,0,0,"0,78","7,33","0,067","2,48","0,9","16,5","0,0075",195,326,"9,3","50,5","3,54",0,"0,29",0,"0,062","0,21","6,17","0,58","0,57",5
viandes crues,"Boeuf, bavette d'aloyau, crue",133,"20,4",0,"5,67",0,0,0,"2,2","14,2","0,072","3,31",-,22,"0,012",195,328,11,"34,4","6,8",0,"0,31",0,"0,066","0,1","4,17","0,61","0,26",11
viandes crues,"Boeuf, à bourguignon ou pot-au-feu, cru",164,24,0,"7,5",0,0,0,"2,7",18,-,"2,1",-,-,-,-,-,-,"41,8",-,-,-,-,-,-,-,-,-,-
viandes crues,"Bœuf, steak haché 5% MG, cru",130,"21,9","0,3","4,59",0,0,0,"1,64",7,"0,082","2,65","0,8",22,"0,011",184,353,"6,72","37,8","4,54",0,"0,2",0,"0,048","0,17","4,7","0,64","0,34",6
viandes crues,"Bœuf, steak haché 10% MG, cru",171,20,"< 0,05","10,1",0,0,0,"2,88",12,"0,072","2,24","6,8",20,"0,01",184,321,"13,9","64,7","4,79",0,"0,17",0,"0,042","0,15","5,07","0,6","0,37",6
viandes crues,"Bœuf, steak haché 15% MG, cru",209,"20,2","0,47","14,1",0,0,0,"5,71","9,33","0,069","2,64",1,20,"0,011",171,302,"6,78","41,7","4,8",0,"0,26",1,"0,048","0,17","4,1","0,51","0,2","5,75"
viandes crues,"Bœuf, steak haché 20% MG, cru",249,"17,3",0,20,0,0,0,"7,99","12,7","0,061","1,94","6,8",17,"0,01",158,270,"12,7",64,"4,18",0,"0,17",0,"0,043","0,15","4,23","0,5","0,32",7
viandes crues,"Boeuf, paleron, cru",144,"21,2",0,"6,54",0,0,0,"2,59","7,45","0,087","2,5",-,25,"0,012",223,343,"10,2",49,"5,51",0,"0,2",0,"0,08","0,21","3,67","0,86","0,27",3
viandes crues,"Veau, côte, crue",189,"18,3",0,"12,9",0,0,0,"4,84","11,5","0,1","1,26","2,8",22,"0,027",184,290,"5,62","43,4","4,29",-,"0,21",0,"0,07","0,23","2,69","1,13","0,2",12
viandes crues,"Veau, carré, cru",145,"19,5","0,4","7,25",0,0,0,"3,18","15,3","0,12","1,45",-,25,"0,028",208,327,-,"89,3","3,2",0,"0,27",0,"0,08","0,27","7,63","1,26","0,44",15
viandes crues,"Veau, escalope, crue",108,"20,7","0,58","2,6",0,0,0,"0,6",10,"0,09",2,"2,52",21,"0,013",171,380,"7,2","38,7","2,56",-,"0,15",-,"0,13","0,28","5,7","0,85","0,44",5
viandes crues,"Veau, noix, crue",111,"21,8",0,"2,58",0,0,0,"0,79",9,"0,11","0,92",-,26,"0,029",220,367,"6,95","74,5","2,64",0,"0,3",0,"0,08","0,27","7,41","1,07","0,53",14
viandes crues,"Veau, filet, cru",95,"20,6",0,"1,4",0,0,0,"0,5",12,-,2,"2,4",-,-,-,-,-,95,-,-,-,-,-,-,-,-,-,-
viandes crues,"Veau, steak haché 20% MG, cru",243,"16,7","0,4","19,5",0,0,0,"8,5",11,-,"0,84",-,-,-,-,-,-,"74,5",-,-,-,-,-,-,-,-,-,-
viandes crues,"Veau, steak haché 15% MG, cru",208,"18,2",traces,15,0,0,0,"6,2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
viandes crues,"Veau, poitrine, crue",176,"18,7",0,"11,2",0,0,0,"3,1",8,"0,094","1,22","2,8",18,"0,01",172,286,8,"82,5","2,33",0,-,-,-,-,-,-,-,-
viandes crues,"Veau, rôti, cru",145,"27,3",0,"3,96",0,0,0,"2,39",7,"0,11","1,35",< 5,27,"0,029",223,372,"9,11",79,"2,34",0,"0,29",0,"0,08","0,28","9,56","1,09","0,47",14
viandes crues,"Veau, épaule, crue",124,"20,7",0,"4,63",0,0,0,"1,55",16,"0,12","1,16","2,8",24,"0,029",208,311,"6,9","61,1","3,98",0,"0,26",0,"0,09","0,29",6,"1,45","0,38",11
viandes crues,"Veau, pied, cru",184,"19,1",traces,12,0,0,0,-,11,-,"2,9",-,15,-,206,320,-,48,-,-,-,0,"0,18","0,27","6,3",-,"0,2","6,9"
viandes crues,"Veau, jarret, cru",118,"21,3",0,"3,66",0,0,0,"1,11",9,-,"1,2",-,-,-,-,-,"6,29","82,8","5,01",-,-,-,-,-,"5,92",-,"0,3",-
viandes crues,"Veau, collier, cru",133,"19,8",traces,"5,92",0,0,0,"1,99",-,-,"1,01",-,-,-,-,-,"7,21","59,9","4,29",-,-,-,-,-,"4,87",-,"0,21",-
viandes crues,"Porc, épaule, crue",178,"18,9","0,38","11,2",0,0,0,"4,41","10,7","0,089","0,65",1,19,"0,012",191,335,"9,25",50,"2,59",0,"0,15","0,7","0,84","0,24","3,84","0,73","0,42","3,25"
viandes crues,"Porc, poitrine, crue",253,17,0,"20,5",0,0,0,"7,89","6,68","0,1","0,52","0,97","18,8","0,012",382,293,< 40,"56,1","1,84",-,"0,1",0,"0,59","0,15","4,65","0,6","0,35","1,67"
viandes crues,"Porc, longe, crue",175,"20,8","0,75","9,89",0,0,0,"3,51","8,99","0,078","0,84",1,"21,7","0,012",187,342,"8,07","66,7","2,67",0,"0,16","0,6","0,82","0,22","4,06","0,66","0,42","1,35"
viandes crues,"Porc, jarret, cru",187,"19,9",0,12,0,0,0,"3,94",12,"0,13","0,69",-,19,"0,022",204,329,-,84,"2,02",0,"0,31",0,"0,47","0,31","5,75","0,59","0,48",0
viandes crues,"Porc, côte, crue",164,"19,8","0,38","9,3",0,0,0,"3,75","7,05","0,087","0,66","1,1","22,2","0,011",463,350,< 40,"49,2","2,31",0,"0,13",0,"0,71","0,18","4,99","0,81","0,41",0
viandes crues,"Porc, rouelle de jambon, crue",149,"20,2",0,"7,56",0,0,0,"2,51",12,"0,079","1,13",-,20,"0,009",180,366,"10,3","56,3","1,93",0,"0,2",0,"0,5","0,31","5,62","0,63","0,51",0
viandes crues,"Porc, carré, cru",146,"22,7","0,4","5,94",0,0,0,"2,4",-,-,"0,57",-,-,-,210,379,"6,57","37,8","1,44",-,-,-,"0,76","0,13",-,-,"0,59",-
viandes crues,"Porc, filet, maigre, cru",117,"21,2",0,"3,6",0,0,0,"1,43","6,38","0,095","0,93","1,08","27,1","0,014",237,416,"8,48","72,3","2,53",0,"0,16",0,"0,98","0,28","5,8","0,81","0,58","2,35"
viandes crues,"Porc, filet mignon, cru",123,"21,2","0,4","4,09",0,0,0,"1,69","8,99","0,089","0,82",-,"27,6","0,014",225,395,"< 0,4","43,8","1,68",0,"0,22",0,"0,95","0,21","6,6","0,84","0,5",0
viandes crues,"Porc, rôti, cru",153,"22,3","0,5","6,86",0,0,0,"2,84","6,51","0,085","0,5","3,73","27,9","0,055",206,349,"9,22","40,2","1,58",0,"0,08",0,"0,74","0,15","8,59",-,"0,67",1
viandes crues,"Porc, échine, crue",198,18,"0,1",14,0,0,0,"5,4",5,"0,083",1,"3,13","19,6","0,03",148,250,"17,9",76,"1,76",-,-,-,"0,89","0,22","4,5",-,-,-
viandes crues,"Porc, travers, cru",237,18,"0,6",18,0,0,0,"7,16","8,49","0,09","0,6","0,8","19,6","0,011",428,330,< 40,"48,3","2,1",0,"0,24",0,"0,66","0,16","5,35","0,64","0,37",2
viandes crues,"Porc, escalope de jambon, crue",129,"21,5",0,"4,76",0,0,0,"1,97","6,39","0,08","0,6",-,27,"0,01",510,392,< 40,"49,2","1,66",0,"0,16",0,"0,82","0,18","6,39","0,66","0,51",0
viandes crues,"Porc, bardière découennée, crue",744,"4,51","0,1","80,6","0,1",0,0,"28,7",-,-,-,-,-,-,-,-,-,"41,6",-,-,-,-,-,-,-,-,-,-
viandes crues,"Porc, gorge, découennée, crue",475,"11,6","0,14","47,5","0,14",0,0,16,-,-,-,-,-,-,-,-,-,"69,6",-,-,-,-,-,-,-,-,-,-
viandes crues,"Porc, hachage sans jarret, sans bateau, découenné, dégraisssé, désossé, cru",187,"18,9","0,23","12,3","0,23",0,0,"4,14",-,-,-,-,-,-,-,-,-,"80,9",-,-,-,-,-,-,-,-,-,-
viandes crues,"Porc, jambon sans jarret, sans bateau, découenné, dégraisssé, désossé, cru",141,"20,9","0,28","6,3","0,28",0,0,"2,11",-,-,-,-,-,-,-,-,-,73,-,-,-,-,-,-,-,-,-,-
viandes crues,"Porc, jambonneau arrière, découenné, dégraisssé, désossé, cru",148,"20,2","0,28","7,31","0,28",0,0,"2,4",-,-,-,-,-,-,-,-,-,"87,6",-,-,-,-,-,-,-,-,-,-
viandes crues,"Porc, maigre 90/10, cru",212,"18,8","0,24","15,1","0,24",0,0,"5,46",-,-,-,-,-,-,-,-,-,"68,8",-,-,-,-,-,-,-,-,-,-
viandes crues,"Porc, maigre 80/20, cru",293,"17,3","0,26","24,7","0,26",0,0,"9,16",-,-,-,-,-,-,-,-,-,"69,4",-,-,-,-,-,-,-,-,-,-
viandes crues,"Porc, palette, découennée, dégraisssée, désossée, crue",174,"19,9","0,25","10,4","0,25",0,0,"3,58",-,-,-,-,-,-,-,-,-,81,-,-,-,-,-,-,-,-,-,-
viandes crues,"Porc, couenne, crue",256,35,"< 0,1","12,9","< 0,1",0,0,"4,05",-,-,-,-,-,-,-,-,-,145,-,-,-,-,-,-,-,-,-,-
viandes crues,"Porc, poitrine cutter, sans mouille, crue",323,"15,9","0,22","28,7","0,22",0,0,"10,2",-,-,-,-,-,-,-,-,-,73,-,-,-,-,-,-,-,-,-,-
viandes crues,"Porc, rôti filet avec chaînette, cru",146,"22,3","0,37","6,2","0,37",0,0,"2,21",-,-,-,-,-,-,-,-,-,"63,7",-,-,-,-,-,-,-,-,-,-
viandes crues,"Poulet, cuisse, viande et peau, cru",188,18,"2,08","11,9",0,0,0,"3,25","10,2","0,054","1,39",2,"19,3","0,016",161,194,"8,05","81,5","1,52",0,"0,37","1,1","0,065","0,15","5,13","0,73","0,28","5,83"
viandes crues,"Poulet, viande, crue",113,20,0,"3,73",0,0,0,"0,85",11,"0,044","0,77","0,4","24,1","0,016",179,257,"12,4",81,"1,17",0,"0,25","2,3","0,084","0,15","8,15","1,05","0,41","14,1"
viandes crues,"Poulet (var. blanc), viande et peau, cru",123,"21,2",0,"4,3",0,0,0,-,"9,73","0,11","0,65","4,1","25,1","0,02",138,250,"7,26","78,3","1,07",-,-,-,-,-,-,-,-,-
viandes crues,"Poulet fermier, viande et peau, cru",135,"21,5","0,2","5,4","0,2",0,0,"2,3","10,2","0,13","0,78","4,1","24,9","0,02",142,267,"8,95",100,"1,27",-,-,-,-,-,-,-,-,-
viandes crues,"Poulet, viande et peau, cru",173,"20,2","0,3","10,1","0,2",0,0,"2,81","9,69","0,14","1,63","0,4","19,8","0,026",174,227,"12,4","62,3","1,3",0,"0,32","1,6","0,12","0,48","7,04","0,98","0,54","10,4"
viandes crues,"Poulet, filet, sans peau, cru",108,"23,5","0,45","1,34","0,2",0,0,"0,39",8,"0,038","0,63",-,"26,5","0,014",218,293,-,"54,6","0,67",0,"0,39",0,"0,08","0,13","9,91","1,17","0,68","6,5"
viandes crues,"Poulet, haut de cuisse, viande, cru",116,"19,7",0,"4,12",0,0,0,"1,1",7,"0,062","0,81",-,23,"0,013",185,242,-,95,"1,58",0,"0,18",0,"0,088","0,2","5,56","1,23","0,45",4
viandes crues,"Poulet éviscéré sans abats, cru",210,"18,6",traces,"15,1",0,0,0,-,11,-,"0,9",-,20,-,147,189,-,70,-,-,-,"1,6","0,06","0,12","6,8",-,"0,35",6
viandes crues,"Poulet, pilon, cru",155,"18,4",0,"9,05",0,0,0,"2,49","8,5","0,062","1,26",-,19,"0,014",168,202,-,91,"1,73",0,"0,35",2,"0,072","0,17","5,12","1,03","0,3",5
viandes crues,"Poulet, aile, viande et peau, cru",181,"20,4",0,11,0,0,0,"3,04",16,"0,03","0,54",< 20,17,"0,01",140,230,< 20,"86,1","1,1",0,"0,78","< 0,5","0,017","0,054","9,62","1,01","0,36","39,7"
viandes crues,"Poulet, cuisse, viande, cru",114,"19,3",0,"4,05",0,0,0,"1,03","10,3","0,061","0,99",2,"22,3","0,019",173,229,-,92,"1,8",0,"0,2","3,1","0,079","0,18","5,9","1,2","0,35","7,67"
viandes crues,"Poulet, poitrine, viande et peau, cru",157,"21,1",0,"8,08",0,0,0,"2,32",11,"0,039","0,82",-,25,"0,018",186,220,-,63,"0,8",0,"0,39",1,"0,062","0,088","9,9","0,8","0,53",4
viandes crues,"Dinde, viande et peau, crue",132,"23,4",0,"4,31",0,0,0,"1,15","10,5","0,11","0,83","1,5",23,"0,012",167,227,24,103,"1,57",0,"0,3",0,"0,056","0,17","5,86","0,78","0,5","8,5"
viandes crues,"Dinde, viande, crue",110,"22,4","0,8","1,88","0,14",0,0,"0,52","10,5","0,067","0,82","1,5",24,"0,012",170,233,"9,9",106,"2,22",0,"0,15",0,"0,07","0,18",8,"0,82","0,56",11
viandes crues,"Dinde, escalope, crue",109,"24,1","0,51","1,22","0,32",0,0,"0,29","16,4","0,07","1,02",-,28,"0,011",201,242,10,"82,8","1,28",0,"0,06",0,"0,042","0,15","9,92","0,78","0,81",7
viandes crues,"Dinde, cuisse, viande et peau, crue",150,"19,8",0,"7,85",0,0,0,"2,24",14,"0,11","1,36",-,"21,5","0,018",172,241,-,"95,3","2,71",0,"0,11",0,"0,066","0,22","4,16","0,97","0,37",8
viandes crues,"Dinde, cuisse, viande sans peau, crue",109,"21,3","0,4","2,5","0,1",0,0,"0,68",11,"0,092","1,04",-,25,"0,014",176,226,28,124,"2,59",0,"0,12",0,"0,062","0,26","5,7","0,94","0,44",7
viandes crues,"Dinde, aile, crue",192,"20,2",0,"12,3",0,0,0,"3,28",14,"0,077","1,26",-,21,"0,017",165,240,-,55,"1,54",-,-,0,"0,05","0,11","4,43","0,55","0,41",7
viandes crues,"Mouton, viande, crue",137,"20,6",traces,"6,11",0,0,0,-,"9,5","0,12","2,29",4,"24,6","0,015",114,279,"2,97","86,4","3,6",-,-,-,-,-,-,-,-,-
viandes crues,"Mouton, épaule, crue",204,"18,3","0,1","14,5",0,0,0,"7,71","8,25","0,095","2,15",3,16,"0,01",130,301,"0,4","90,5","3,5",-,"0,43",1,"0,17","0,27","5,4","0,55","0,2",2
viandes crues,"Mouton, pied, cru",204,"18,1",traces,"14,6",0,0,0,-,10,-,"1,5",-,16,-,165,295,-,75,-,-,-,-,"0,16","0,22","5,2",-,"0,33",-
viandes crues,"Mouton, tête, crue",204,"18,1",traces,"14,6",-,0,0,-,10,-,"1,5",-,16,-,165,295,-,75,-,-,-,-,"0,16","0,22","5,2",-,"0,33",-
viandes crues,"Mouton, gigot, cru",225,18,traces,17,0,0,0,-,10,"0,1","2,5","1,8",23,"0,02",213,380,2,78,"3,7",-,-,-,-,-,-,-,-,-
viandes crues,"Agneau, côtelette, crue",368,"14,4",0,"34,5",0,0,0,"16,8","12,9","0,12","1,5","0,7",17,"0,01",136,218,"1,4",66,"3,42",0,"0,7",1,"0,18","0,3","4,3","0,55","0,2","2,6"
viandes crues,"Agneau, gigot, cru",128,20,"0,48","5,13",0,0,0,"1,97",10,"0,12","1,51","0,7","21,9","0,015",177,255,"7,73","48,7",3,-,"0,46",1,"0,15","0,27","6,52","0,63","0,26","9,8"
viandes crues,"Agneau, épaule, crue",204,19,"0,2","14,1",0,0,0,"6,23","12,7","0,11","1,5","0,7",19,"0,015",170,224,"6,05","68,7","3,68",0,"0,46",1,"0,15","0,26","4,98","0,62","0,17","10,8"
viandes crues,"Agneau, épaule, maigre, crue",139,"19,6",0,"6,76",0,0,0,"2,42",15,"0,11","1,66",-,24,"0,024",184,274,-,70,"4,77",0,"0,22",0,"0,12","0,22","5,45","0,71","0,16",23
viandes crues,"Agneau, collier, cru",195,18,traces,"13,7",0,0,0,"5,79",-,-,"1,14",-,-,-,-,-,"7,41","80,1","3,82",-,-,-,-,-,"4,27",-,"0,16",-
viandes crues,"Agneau, selle, crue",236,"17,5",0,"18,4",0,0,0,"7,95","12,8","0,13","1,16","0,7",19,"0,014",175,222,"5,73",55,"2,11",-,"0,44",0,"0,1","0,19","5,41","0,59","0,22","9,2"
viandes crues,"Agneau, côte filet, crue",242,"17,6","2,3",18,0,0,0,"7,75",9,-,"1,15",-,-,-,-,-,"5,7","69,6","2,08",-,-,-,-,-,"5,51",-,"0,23",-
viandes crues,"Agneau, côte première, crue",276,"16,9",0,"23,1",0,0,0,10,8,-,"1,12",-,-,-,-,-,"4,81","81,2","1,84",-,-,-,-,-,"5,14",-,"0,21",-
viandes crues,"Agneau, côte ou côtelette, crue (aliment moyen)",295,"16,3","0,77","25,2",0,0,0,"11,5","9,97",,"1,25",,,,,,"3,97","72,3","2,45",,,,,,"4,98",,"0,21",
viandes crues,"Sanglier, cru",147,"20,7",0,"7,13",0,0,0,"2,47","9,65","0,1","1,23",1,21,"0,014",155,325,"6,9",80,"3,6",-,"0,1",0,"0,56","0,13","5,1","0,77","0,3",2
viandes crues,"Lièvre, viande crue",111,"21,6",0,"2,67",0,0,0,"0,93","11,6","0,24","1,8","0,55",26,"0,038",210,318,10,"60,5","1,7",-,"0,1",0,"0,09","0,06","8,07","0,8","0,3",10
viandes crues,"Chevreuil, cru",110,23,0,2,0,0,0,1,5,-,"3,4",-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-
viandes crues,"Cerf, cru",113,"23,7",0,"2,04",0,0,0,"0,88","5,25","0,25","3,79",-,23,"0,041",202,318,-,"51,4","2,09",0,"0,2",0,"0,22","0,48","6,37",-,"0,37",4
viandes crues,"Faisan, viande, cru",127,"23,3",0,"3,78",0,0,0,"1,29","14,8","0,071","1,22",8,"20,1","0,017",231,261,14,"37,6",1,-,-,"5,91","0,076","0,15","6,56","0,96","0,73","6,25"
viandes crues,"Faisan, viande et peau, cru",164,"23,2",0,"7,95",0,0,0,"3,32",15,"0,065","1,58",8,20,"0,017",214,243,-,36,"0,96",-,-,"5,3","0,072","0,14","6,43","0,93","0,66",6
viandes crues,"Cheval, viande, crue",167,"18,8","0,6",10,0,0,0,"3,64",10,"0,14","3,5",1,20,"0,02",185,291,6,62,"4,61",0,"0,23","0,6","0,14","0,27","4,5","0,6","0,5",8
viandes crues,"Cheval, steak, cru",129,"21,4","0,4","4,6",0,0,0,"1,44",6,"0,14","3,82","1,2",24,"0,019",221,360,"12,2",53,"2,9",-,-,1,"0,13","0,1","4,6",-,"0,38",-
viandes crues,"Cheval, tende de tranche, crue",106,"22,7",traces,"1,68",0,0,0,"0,48",-,-,"3,06",-,-,-,-,-,"5,22",-,"2,32",-,-,-,-,-,"5,39",-,"0,7",-
viandes crues,"Cheval, faux-filet, cru",121,"22,2",traces,"3,58",0,0,0,"1,17",-,-,"2,55",-,-,-,-,-,"5,35",-,"1,91",-,-,-,-,-,"5,6",-,"0,66",-
viandes crues,"Cheval, entrecôte, crue",118,"22,1",traces,"3,34",0,0,0,"1,08",-,-,"2,84",-,-,-,-,-,"5,37",-,"2,51",-,-,-,-,-,"6,15",-,"0,66",-
viandes crues,"Chevreau, cru",103,"20,6",0,"2,31",0,0,0,"0,71",13,"0,26","2,83",-,-,"0,038",180,385,-,82,4,-,-,0,"0,11","0,49","3,75",-,-,5
viandes crues,"Lapin, viande crue",189,"20,4","0,66","11,6",0,0,0,"4,74","10,3","0,15","1,11","0,55","23,5","0,032",212,357,10,"56,3","1,64",0,"0,4",3,"0,04","0,18","10,4","1,1","0,18",< 20
viandes crues,"Lapin de garenne, viande, crue",108,"21,8",0,"2,32",0,0,0,"0,69",12,-,"3,2",-,29,-,226,378,-,50,-,-,-,0,"0,03","0,06","6,5",-,-,-
viandes crues,"Poule, viande et peau, crue",215,"17,8","0,4","15,8",0,0,0,"4,38","32,7","0,11","1,25","0,9","18,7","0,019",169,196,8,"72,7","1,27",0,"0,32",0,"0,086","0,14","6,42","0,9","0,33","7,5"
viandes crues,"Poule, viande ,crue",124,"20,9",0,"4,51",0,0,0,"1,12","8,5","0,11","0,95","0,9","23,5","0,021",170,249,"12,4","65,5","1,38",0,"0,17","3,3","0,12","0,19","6,99","1,06","0,52",8
viandes crues,"Poule, cuisse, crue",131,"19,6",0,"5,92",0,0,0,"1,51","9,5","0,087","0,99",-,"21,5","0,018",182,234,-,108,"2,07",0,"0,21","4,6","0,13","0,25","5,3","1,18","0,36",7
viandes crues,"Chapon, viande et peau, cru",183,"21,8",0,"10,6",0,0,0,"1,5",11,"0,05","1,09",-,21,"0,02",183,217,-,272,"1,17",0,"0,32","1,7","0,064","0,13","7,27","0,97","0,36",6
viandes crues,"Caille, viande et peau, crue",136,"21,5",0,"5,55",0,0,0,"0,6",14,"0,51","3,97","1,5",23,"0,019",275,216,-,50,"2,42",0,"0,05","6,1","0,24","0,26","7,54","0,77","0,6",8
viandes crues,"Caille, viande, crue",126,"22,5","0,5","3,81","0,5",0,0,"1,21",14,"0,59","4,51","1,5",25,"0,019",307,237,-,49,"2,7",-,-,"7,2","0,28","0,29","8,2","0,79","0,53",7
viandes crues,"Canard, viande, crue",126,"19,4",0,"5,33",0,0,0,"1,94",9,"0,2","2,63","1,2","20,5","0,019",199,277,24,"77,7","1,47",0,"0,7","5,85","0,38","0,42","4,83","1,6","0,41","36,5"
viandes crues,"Canard, cuisse avec peau, sans os, crue",103,"18,7",traces,"3,1",0,0,0,"1,05",-,-,-,-,-,-,-,-,-,103,-,-,-,-,-,-,-,-,-,-
viandes crues,"Canard, viande et peau, cru",284,"17,4","2,75","22,6","0,2",0,0,"7,47","5,1","0,23","2,2",< 20,20,"0,05",180,310,< 20,"56,9","2,1",0,"0,69","< 0,5","0,18","0,72","4,87","1,97","0,26","24,9"
viandes crues,"Canard, magret, cru",340,"17,9","0,85","29,4","0,7",0,0,"8,95",5,-,-,-,-,-,-,-,-,"54,4",-,-,-,-,-,-,-,-,-,-
viandes crues,"Oie, viande crue",155,"22,6",0,"7,12",-,0,0,"2,79",13,"0,31","2,57",-,24,"0,024",312,368,24,78,"2,34",-,0,"7,2","0,13","0,38","4,28","1,97","0,64",21
viandes crues,"Oie, viande et peau, crue",365,"15,7",0,"33,6",0,0,0,"9,78",12,"0,2","2,5","1,2",21,"0,02",234,312,24,71,"1,54",-,0,"4,2","0,11","0,3","5,8","1,29","0,49","7,5"
viandes crues,"Pigeon, cru",222,"18,9","0,7",16,"0,4",0,0,"4,89","12,5","0,52","4,03",-,"22,8","0,019",278,244,-,"67,8","2,45",0,"0,1","6,2","0,25","0,25","6,45","0,77","0,47","9,75"
viandes crues,"Pintade, crue",143,"22,8",0,"5,75",0,0,0,"1,55","11,5","0,044","0,8",-,23,"0,018",161,207,-,"70,5","1,17",0,"0,3","1,5","0,063","0,11","8,22","0,91","0,43","5,5"
viandes crues,"Pintade, poitrine, crue",107,"25,1",0,"0,7",0,0,0,"0,23",4,-,"0,3",-,-,-,230,360,-,50,1,-,traces,0,"0,14","0,15","9,1",-,"0,81",9
viandes crues,"Pintade, cuisse, crue",121,"21,3",0,4,0,0,0,"1,3",13,-,"2,5",-,-,-,220,340,-,78,"1,9",-,"0,01",0,"0,29","0,35","5,1",-,"0,61",17
viandes crues,"Autruche, viande crue",159,"20,2",0,"8,7",0,0,0,-,7,"0,13","2,91",-,20,"0,017",199,291,-,72,"3,51",0,"0,24",0,"0,18","0,27","4,38","1,08","0,48",7
viandes crues,"Cervelle, agneau, crue",121,"10,4","0,49","8,58",-,0,0,"2,19",9,"0,24","1,75",-,12,"0,044",270,296,-,112,"1,17",-,-,16,"0,13","0,3","3,9","0,92","0,29",3
